date,output_gap_pct,inflation_pct,inflation_expected,r,g,inflation_surprise,output_gap_lag1,inflation_surprise_lag1,output_gap_fitted,inflation_surprise_fitted
2019-05-31,1.8883994637818244,2.504638218923927,2.833333333333333,-2.833333333333333,0.3970796239924234,-0.3286951144094061,1.5432812032618854,0.0616991643453976,1.1859458048443348,0.1346663487335079
2019-06-30,2.003820701622205,1.935483870967736,2.85,-2.7710526315789474,0.5870466237017532,-0.914516129032264,1.8883994637818244,-0.3286951144094061,1.519697308629322,-0.22053163011188487
2019-07-31,2.709961992552884,1.921317474839901,2.8000000000000003,-2.5500000000000003,0.5547466592235094,-0.8786825251600994,2.003820701622205,-0.914516129032264,1.5541368417670745,-0.7159579240708713
2019-08-31,2.680169886845325,1.5610651974288237,2.75,-2.5,0.4736833024946624,-1.1889348025711763,2.709961992552884,-0.8786825251600994,1.925903694708477,-0.6858087030996529
2019-09-30,2.441755291541313,1.4611872146118587,2.7,-2.366666666666667,0.3605854888931209,-1.2388127853881414,2.680169886845325,-1.1889348025711763,1.823233750224619,-0.9789555458942328
2019-10-31,2.674731081535045,1.8298261665141704,2.6766666666666667,-2.1766666666666667,0.2077081300904888,-0.8468405001524963,2.441755291541313,-1.2388127853881414,1.5633204804171659,-1.0181348152934095
2019-11-30,2.3721879928569947,1.6393442622950838,2.6533333333333333,-2.1533333333333333,0.7388513868869614,-1.0139890710382495,2.674731081535045,-0.8468405001524963,2.0608691719494407,-0.7231569902138928
2019-12-31,2.167520112018825,1.3661202185792254,2.63,-2.13,0.6324835991580472,-1.2638797814207745,2.3721879928569947,-1.0139890710382495,1.803820661496748,-0.8782508784667984
2020-01-31,2.302510676737869,1.8298261665141704,2.6466666666666665,-2.1466666666666665,2.1901007358798013,-0.8168405001524961,2.167520112018825,-1.2638797814207745,2.728305340466045,-1.1825369528340148
2020-02-29,2.496849104104839,0.907441016333932,2.6633333333333336,-2.1633333333333336,1.6876895538415062,-1.7558923169994016,2.302510676737869,-0.8168405001524961,2.473461303982239,-0.745208753021342
2020-03-31,-4.404470566851201,0.7246376811594235,2.68,-2.6913636363636364,-2.367862282232239,-1.9553623188405769,2.496849104104839,-1.7558923169994016,-0.10325176947525261,-1.677976811317145
2020-04-30,-9.008648200412132,0.8122743682310585,2.7133333333333334,-3.4633333333333334,-6.078887683979105,-1.901058965102275,-4.404470566851201,-1.9553623188405769,-6.748292324419618,-1.8244645166244104
2020-05-31,-6.974710713823233,1.2669683257918507,2.7466666666666666,-3.694035087719298,-5.041986654927963,-1.479698340874816,-9.008648200412132,-1.901058965102275,-8.836332672993265,-1.70081623129541
2020-06-30,-4.123551666455269,1.3562386980108476,2.78,-3.78,-2.714896694149714,-1.4237613019891522,-6.974710713823233,-1.479698340874816,-6.02825287103787,-1.2967049118184142
2020-07-31,-3.340958404580676,1.3464991023339312,2.803333333333333,-3.803333333333333,-1.2081988576279976,-1.4568342309994016,-4.123551666455269,-1.4237613019891522,-3.279041291924127,-1.2903014996899655
2020-08-31,-3.0146750986536843,1.7179023508137492,2.8266666666666667,-3.826666666666666,-0.2930581267674982,-1.1087643158529177,-3.340958404580676,-1.4568342309994016,-2.18591318861216,-1.3532822658664871
2020-09-30,-2.514443624155485,1.6201620162016317,2.85,-3.85,-0.3564900906211053,-1.2298379837983684,-3.0146750986536843,-1.1087643158529177,-2.028660724800059,-1.0114272587667497
2020-10-31,-1.1363923477678943,1.7070979335130243,2.8266666666666667,-3.826666666666666,-0.4571506087293343,-1.1195687331536424,-2.514443624155485,-1.2298379837983684,-1.7936204180929427,-1.0357498974911317
2020-11-30,-1.888841999293426,0.7168458781362075,2.803333333333333,-3.803333333333333,0.0619133086645591,-2.0864874551971253,-1.1363923477678943,-1.1195687331536424,-0.6077609294526549,-1.0144912661986059
2020-12-31,-0.7268912767448674,1.4375561545372897,2.78,-3.78,0.7995788100697149,-1.34244384546271,-1.888841999293426,-2.0864874551971253,-0.5706096562364973,-1.848009904139233
2021-01-31,-0.3730888688577138,2.515723270440251,2.83,-3.83,-0.4928402959058901,-0.314276729559749,-0.7268912767448674,-1.34244384546271,-0.7302264370319067,-1.0891287446858393
2021-02-28,-1.4993211730590723,3.3273381294964155,2.88,-3.88,-0.6048670662709508,0.4473381294964156,-0.3730888688577138,-0.314276729559749,-0.5872370863060794,-0.23433605641400745
2021-03-31,-2.732755544419042,3.057553956834536,2.93,-3.93,-0.8950726840475296,0.1275539568345358,-1.4993211730590723,0.4473381294964156,-1.4642800031704963,0.38960159185969145
2021-04-30,-2.141787326398263,2.9543419874664245,2.98,-3.98,-0.693480694241028,-0.0256580125335754,-2.732755544419042,0.1275539568345358,-2.0756604800259657,0.1336085343349702
2021-05-31,-1.3023072401006288,2.680965147453085,3.03,-4.029999999999999,0.1712801483165975,-0.3490348525469149,-2.141787326398263,-0.0256580125335754,-1.1312803569376955,-0.0006590255371446696
2021-06-30,-1.2022019173402216,2.8545941123996554,3.08,-4.08,1.0713785302400416,-0.2254058876003446,-1.3023072401006288,-0.3490348525469149,-0.011981022501899252,-0.3295281694266499
